109857781.txt,"Attempt - Volume 1 and Select writings - U.431"
103655648.txt,"Attempt - Volume 2 - U.431"
103655649.txt,"Attempt - Volume 3 - U.431"
103655650.txt,"Attempt - Volume 4 - U.431"
103655651.txt,"Attempt - Volume 5 - U.431"
103655652.txt,"Attempt - Volume 6 - U.431"
103655653.txt,"Attempt - Volume 7 - U.431"
103655654.txt,"Attempt - Volume 8 - U.431"
103655655.txt,"Attempt - Volume 9 - U.431"
103655656.txt,"Attempt - Volume 10 - U.431"
103655658.txt,"Ladies' Edinburgh Magazine - Volume 1 - U.393"
103655659.txt,"Ladies' Edinburgh Magazine - Volume 2 - U.393"
103655660.txt,"Ladies' Edinburgh Magazine - Volume 3 - U.393"
103655661.txt,"Ladies' Edinburgh Magazine - Volume 4 - U.393"
103655662.txt,"Ladies' Edinburgh Magazine - Volume 5 - U.393"
103655663.txt,"Ladies' Edinburgh Magazine - Volume 6 - U.393"
